family,global_index,case_key,slice_index,risk_score,source_dice,tent1_dice,delta_dice,state,harmful,beneficial,source_tp,source_fp,source_fn,tent_tp,tent_fp,tent_fn
UNet,179,Case04,7,0.1854624184366885,0.05216037368625925,0.31802721088435376,0.2658668371980945,BENEFIT,0,1,67,127,2308,561,592,1814
UNet,180,Case04,8,0.4788456947785917,0.3157894736842105,0.15149638802889576,-0.16429308565531475,HARM,1,0,564,408,2036,367,1878,2233
UNet,181,Case04,9,0.6547353002870508,0.5337338262476895,0.19412822049131218,-0.3396056057563773,HARM,1,0,1155,333,1685,486,1681,2354
UNet,182,Case04,10,0.7601373312038313,0.43958966565349544,0.035883905013192614,-0.40370576064030284,HARM,1,0,1157,729,2221,102,2205,3276
UNet,183,Case04,11,0.6336898793792117,0.5935357492654261,0.07882705344474224,-0.5147086958206838,HARM,1,0,1818,751,1739,250,2536,3307
UNet,184,Case04,12,0.6907327891761259,0.6758878504672897,0.31795790416480074,-0.357929946302489,HARM,1,0,2712,1531,1070,1065,1852,2717
UNet,185,Case04,13,0.6544594324599909,0.7381864623243933,0.25847400405131665,-0.4797124582730767,HARM,1,0,3179,1635,620,957,2649,2842
UNet,186,Case04,14,0.6955165336800813,0.7599830974012255,0.4044150110375276,-0.3555680863636979,HARM,1,0,3597,1903,369,1374,1455,2592
UNet,187,Case04,15,0.5663886845693288,0.760622381807301,0.3928659286592866,-0.3677564531480144,HARM,1,0,3813,1644,756,1597,1964,2972
UNet,188,Case04,16,0.6743450397234483,0.7442733758918513,0.0,-0.7442733758918513,HARM,1,0,3964,1850,874,0,2805,4838
UNet,189,Case04,17,0.6360285607356677,0.7982777179763186,0.0,-0.7982777179763186,HARM,1,0,3708,694,1180,0,2054,4888
UNet,190,Case04,18,0.8668066240938954,0.6196508045190003,0.15131411074253637,-0.468336693776464,HARM,1,0,2715,952,2381,593,2149,4503
UNet,191,Case04,19,0.924074610120968,0.6261284632146934,0.07292457948996202,-0.5532038837247314,HARM,1,0,3017,1639,1964,336,3898,4645
UNet,192,Case04,20,0.8153358905719882,0.24322744104463068,0.0,-0.24322744104463068,HARM,1,0,1248,3866,3900,0,2881,5148
UNet,193,Case04,21,0.5406153674842723,0.0,0.0,0.0,NEUTRAL,0,0,0,4174,5408,0,2986,5408
UNet,194,Case04,22,0.7202496508360081,0.0,0.0,0.0,NEUTRAL,0,0,0,5431,5584,0,2841,5584
UNet,195,Case04,23,0.8895153820016365,0.04751859664705229,0.0,-0.04751859664705229,HARM,1,0,214,3683,4896,0,2000,5110
UNet,196,Case04,24,0.9558743079763032,0.20259850005281504,0.0,-0.20259850005281504,HARM,1,0,959,3610,3939,0,2333,4898
UNet,197,Case04,25,0.6007615396786811,0.0499078406351907,0.0,-0.0499078406351907,HARM,1,0,176,2235,4466,0,1065,4642
UNet,198,Case04,26,0.4214400756227173,0.008733624454148471,0.0,-0.008733624454148471,NEUTRAL,0,0,27,1690,4439,0,1856,4466
UNet,199,Case04,27,0.1630613004010053,0.039544637507489516,0.0,-0.039544637507489516,HARM,1,0,99,304,4505,0,1214,4604
UNet,200,Case04,28,0.0933030530609931,0.0121153380179307,0.0,-0.0121153380179307,NEUTRAL,0,0,25,0,4077,0,2036,4102
UNet,201,Case04,29,0.6479423933332118,0.0,0.1729608938547486,0.1729608938547486,BENEFIT,0,1,0,0,2190,387,1898,1803
UNet,202,Case04,30,0.3654969906938095,0.15645067133683596,0.2781065088757396,0.12165583753890366,BENEFIT,0,1,134,0,1445,470,1331,1109
UNet,203,Case04,31,0.651453848928738,0.0,0.0,0.0,NEUTRAL,0,0,0,1599,0,0,1790,0
UNet,204,Case04,32,0.5460706627059927,0.0,0.0,0.0,NEUTRAL,0,0,0,363,0,0,2847,0
